orderid,farmer_id,food,Cost,transport,A,B,C,date_harvest,date_deliver,image_path,pre_img_val,rank_in_q
3037,761,121,320000,1,3700,6100,6200,2018-07-17 11:00:00,2018-07-22 06:00:00,NULL,NULL,NULL
3038,761,49,451000,1,3000,9800,5900,2018-07-30 16:00:00,2018-08-05 01:00:00,NULL,NULL,NULL
3039,762,99,370000,1,7800,8000,4800,2018-07-20 09:00:00,2018-07-27 02:00:00,NULL,NULL,NULL
3040,762,6,1015000,1,6700,4100,6100,2018-08-09 12:00:00,2018-08-15 06:00:00,NULL,NULL,NULL
3041,762,162,78000,1,100,5000,1600,2018-08-09 02:00:00,2018-08-15 14:00:00,NULL,NULL,NULL
3042,762,143,430000,0,5600,4200,9400,2018-07-29 12:00:00,2018-08-05 01:00:00,NULL,NULL,NULL
3043,763,9,1041000,0,6900,9500,5700,2018-08-06 01:00:00,2018-08-12 02:00:00,NULL,NULL,NULL
3044,763,53,1150000,1,8800,7000,500,2018-07-20 06:00:00,2018-07-25 00:00:00,NULL,NULL,NULL
3045,763,33,621000,1,8000,400,6500,2018-07-16 01:00:00,2018-07-23 00:00:00,NULL,NULL,NULL
3046,763,18,156000,0,1400,3500,9100,2018-07-25 17:00:00,2018-07-31 20:00:00,NULL,NULL,NULL
3047,764,158,110000,0,3600,100,9400,2018-07-06 04:00:00,2018-07-11 22:00:00,NULL,NULL,NULL
3048,764,134,409000,0,3800,9500,2300,2018-07-25 12:00:00,2018-07-31 18:00:00,NULL,NULL,NULL
3049,764,176,44000,0,800,775,1200,2018-07-12 10:00:00,2018-07-17 23:00:00,NULL,NULL,NULL
3050,765,102,318000,0,8400,2400,9100,2018-07-12 12:00:00,2018-07-18 08:00:00,NULL,NULL,NULL
3051,765,36,325000,1,6200,6400,400,2018-07-04 02:00:00,2018-07-10 00:00:00,NULL,NULL,NULL
3052,765,1,1290000,1,9200,9200,6600,2018-07-31 22:00:00,2018-08-05 13:00:00,NULL,NULL,NULL
3053,766,39,239000,1,5300,5600,2200,2018-07-15 14:00:00,2018-07-20 15:00:00,NULL,NULL,NULL
3054,766,167,265000,1,6100,4700,5000,2018-08-03 19:00:00,2018-08-10 01:00:00,NULL,NULL,NULL
3055,766,96,118000,0,320,790,260,2018-07-29 14:00:00,2018-08-02 22:00:00,NULL,NULL,NULL
3056,766,38,313000,1,1500,8700,1700,2018-08-16 09:00:00,2018-08-20 14:00:00,NULL,NULL,NULL
3057,766,134,359000,0,6100,5300,400,2018-08-16 18:00:00,2018-08-23 02:00:00,NULL,NULL,NULL
3058,767,80,405000,0,9300,5400,9600,2018-08-07 16:00:00,2018-08-14 02:00:00,NULL,NULL,NULL
3059,767,118,377000,1,7200,8000,7100,2018-07-11 15:00:00,2018-07-16 04:00:00,NULL,NULL,NULL
3060,767,138,445000,1,4400,8800,4300,2018-07-08 05:00:00,2018-07-12 20:00:00,NULL,NULL,NULL
3061,767,17,1428000,1,3100,8000,3000,2018-07-12 00:00:00,2018-07-16 06:00:00,NULL,NULL,NULL
3062,767,62,320000,0,9200,7200,9800,2018-08-15 11:00:00,2018-08-20 19:00:00,NULL,NULL,NULL
3063,768,58,720000,1,4200,5400,4900,2018-08-13 06:00:00,2018-08-18 10:00:00,NULL,NULL,NULL
3064,768,123,312000,0,9000,1700,7100,2018-07-07 11:00:00,2018-07-12 14:00:00,NULL,NULL,NULL
3065,768,40,324000,1,1000,9200,300,2018-07-29 21:00:00,2018-08-03 08:00:00,NULL,NULL,NULL
3066,768,29,914000,0,9000,6100,4700,2018-08-03 07:00:00,2018-08-10 04:00:00,NULL,NULL,NULL
3067,769,132,222000,0,4600,5800,1500,2018-07-10 09:00:00,2018-07-15 07:00:00,NULL,NULL,NULL
3068,769,163,51000,1,2325,1425,375,2018-07-25 19:00:00,2018-07-31 10:00:00,NULL,NULL,NULL
3069,769,11,532000,1,1500,1625,200,2018-07-12 19:00:00,2018-07-19 16:00:00,NULL,NULL,NULL
3070,769,170,25000,0,1550,475,700,2018-07-21 02:00:00,2018-07-25 05:00:00,NULL,NULL,NULL
3071,770,16,74000,1,2475,1925,575,2018-08-08 05:00:00,2018-08-15 02:00:00,NULL,NULL,NULL
3072,770,130,169000,1,2800,5800,700,2018-07-14 18:00:00,2018-07-21 06:00:00,NULL,NULL,NULL
3073,770,149,322000,1,6300,4900,2000,2018-07-11 23:00:00,2018-07-17 17:00:00,NULL,NULL,NULL
3074,771,151,671000,0,5600,5300,5500,2018-07-15 14:00:00,2018-07-21 01:00:00,NULL,NULL,NULL
3075,771,155,163000,1,5500,2200,9700,2018-07-19 21:00:00,2018-07-24 12:00:00,NULL,NULL,NULL
3076,771,30,432000,0,700,6700,1200,2018-08-13 11:00:00,2018-08-19 16:00:00,NULL,NULL,NULL
3077,772,116,239000,0,8100,500,5100,2018-07-08 12:00:00,2018-07-13 22:00:00,NULL,NULL,NULL
3078,772,149,535000,0,7800,9200,9700,2018-07-08 02:00:00,2018-07-12 08:00:00,NULL,NULL,NULL
3079,772,99,102000,1,100,5800,100,2018-08-08 09:00:00,2018-08-12 20:00:00,NULL,NULL,NULL
3080,772,30,790000,0,10000,1500,800,2018-07-29 12:00:00,2018-08-05 06:00:00,NULL,NULL,NULL
3081,772,28,570000,1,4600,2000,5000,2018-07-29 09:00:00,2018-08-04 16:00:00,NULL,NULL,NULL
3082,772,128,35000,1,1100,1400,2225,2018-08-05 11:00:00,2018-08-10 00:00:00,NULL,NULL,NULL
3083,773,84,288000,1,9100,7400,3400,2018-07-28 07:00:00,2018-08-03 05:00:00,NULL,NULL,NULL
3084,773,158,149000,0,6400,1400,7200,2018-08-01 17:00:00,2018-08-07 22:00:00,NULL,NULL,NULL
3085,773,26,2570000,1,7300,6500,8800,2018-07-18 17:00:00,2018-07-24 10:00:00,NULL,NULL,NULL
3086,774,23,632000,0,3800,4200,800,2018-08-16 05:00:00,2018-08-21 03:00:00,NULL,NULL,NULL
3087,774,94,55000,1,810,70,170,2018-07-13 06:00:00,2018-07-19 22:00:00,NULL,NULL,NULL
3088,774,135,58000,0,1800,325,1000,2018-07-04 02:00:00,2018-07-08 09:00:00,NULL,NULL,NULL
3089,775,166,257000,1,3200,7300,600,2018-07-18 17:00:00,2018-07-24 18:00:00,NULL,NULL,NULL
3090,775,148,571000,0,4100,6600,7700,2018-07-18 14:00:00,2018-07-24 18:00:00,NULL,NULL,NULL
3091,775,149,183000,1,2500,1500,6900,2018-08-03 08:00:00,2018-08-08 17:00:00,NULL,NULL,NULL
3092,776,54,716000,1,5800,4900,6400,2018-08-11 04:00:00,2018-08-15 11:00:00,NULL,NULL,NULL
3093,776,179,472000,0,7200,9800,3600,2018-07-17 22:00:00,2018-07-22 12:00:00,NULL,NULL,NULL
3094,776,44,445000,1,5500,7800,3400,2018-07-17 12:00:00,2018-07-23 13:00:00,NULL,NULL,NULL
3095,777,167,309000,1,9100,4100,2900,2018-08-14 12:00:00,2018-08-19 23:00:00,NULL,NULL,NULL
3096,777,157,55000,0,700,800,4600,2018-08-10 06:00:00,2018-08-16 02:00:00,NULL,NULL,NULL
3097,777,120,146000,1,1800,3700,6900,2018-07-13 03:00:00,2018-07-18 15:00:00,NULL,NULL,NULL
3098,777,100,69000,1,1250,1250,1950,2018-07-10 10:00:00,2018-07-15 14:00:00,NULL,NULL,NULL
3099,777,82,112000,1,1200,900,200,2018-07-15 11:00:00,2018-07-21 07:00:00,NULL,NULL,NULL
3100,778,104,52000,1,8000,200,1900,2018-07-12 04:00:00,2018-07-19 01:00:00,NULL,NULL,NULL
3101,778,110,85000,0,2175,300,1250,2018-07-31 12:00:00,2018-08-05 08:00:00,NULL,NULL,NULL
3102,778,67,140000,1,3400,300,8400,2018-07-20 00:00:00,2018-07-25 11:00:00,NULL,NULL,NULL
3103,779,118,233000,1,7300,2700,1800,2018-08-14 09:00:00,2018-08-21 03:00:00,NULL,NULL,NULL
3104,779,118,331000,0,5000,8100,8300,2018-08-16 11:00:00,2018-08-22 03:00:00,NULL,NULL,NULL
3105,779,21,91000,0,1575,1850,575,2018-07-29 06:00:00,2018-08-03 14:00:00,NULL,NULL,NULL
3106,779,14,285000,0,9700,4100,8700,2018-08-05 02:00:00,2018-08-10 01:00:00,NULL,NULL,NULL
3107,780,124,245000,1,1500,9900,4400,2018-07-05 14:00:00,2018-07-09 23:00:00,NULL,NULL,NULL
3108,780,95,82000,1,930,470,270,2018-07-06 03:00:00,2018-07-10 07:00:00,NULL,NULL,NULL
3109,780,86,131000,0,1200,7700,900,2018-08-04 22:00:00,2018-08-11 21:00:00,NULL,NULL,NULL
3110,781,86,102000,0,3200,600,5400,2018-07-17 10:00:00,2018-07-22 12:00:00,NULL,NULL,NULL
3111,781,141,280000,0,625,2325,200,2018-07-15 15:00:00,2018-07-21 00:00:00,NULL,NULL,NULL
3112,781,141,248000,1,275,1550,1800,2018-07-17 21:00:00,2018-07-24 02:00:00,NULL,NULL,NULL
3113,781,120,268000,0,5500,7500,5100,2018-07-16 17:00:00,2018-07-23 05:00:00,NULL,NULL,NULL
3114,781,107,345000,0,8400,3600,9600,2018-08-02 03:00:00,2018-08-06 21:00:00,NULL,NULL,NULL
3115,782,60,49000,0,2150,2150,1375,2018-07-31 07:00:00,2018-08-04 16:00:00,NULL,NULL,NULL
3116,782,134,497000,0,4400,8200,8800,2018-08-16 09:00:00,2018-08-20 18:00:00,NULL,NULL,NULL
3117,782,36,564000,0,9700,9600,6200,2018-07-09 22:00:00,2018-07-15 02:00:00,NULL,NULL,NULL
3118,782,68,396000,0,9200,3100,5700,2018-08-13 12:00:00,2018-08-17 14:00:00,NULL,NULL,NULL
3119,783,4,1365000,0,2500,8900,8000,2018-07-10 15:00:00,2018-07-15 07:00:00,NULL,NULL,NULL
3120,783,82,818000,1,5300,8800,5700,2018-08-02 08:00:00,2018-08-07 02:00:00,NULL,NULL,NULL
3121,783,102,180000,0,1500,6700,3300,2018-08-16 20:00:00,2018-08-22 09:00:00,NULL,NULL,NULL
3122,783,87,84000,0,500,6200,1300,2018-07-19 19:00:00,2018-07-24 12:00:00,NULL,NULL,NULL
3123,784,153,1019000,1,1000,2900,9800,2018-07-15 04:00:00,2018-07-19 18:00:00,NULL,NULL,NULL
3124,784,9,407000,0,3600,2900,1800,2018-07-19 01:00:00,2018-07-25 15:00:00,NULL,NULL,NULL
3125,784,17,1095000,1,1800,7800,400,2018-07-30 09:00:00,2018-08-05 05:00:00,NULL,NULL,NULL
3126,785,170,28000,0,625,1500,1750,2018-07-30 12:00:00,2018-08-04 04:00:00,NULL,NULL,NULL
3127,785,12,1041000,1,1100,6400,7100,2018-08-15 12:00:00,2018-08-22 04:00:00,NULL,NULL,NULL
3128,785,39,221000,0,8300,300,2300,2018-07-11 00:00:00,2018-07-18 00:00:00,NULL,NULL,NULL
3129,785,110,94000,1,1375,1825,1375,2018-07-04 04:00:00,2018-07-08 13:00:00,NULL,NULL,NULL
3130,786,19,120000,0,2800,2000,4100,2018-08-08 06:00:00,2018-08-15 06:00:00,NULL,NULL,NULL
3131,786,99,287000,1,5900,4100,8700,2018-08-17 20:00:00,2018-08-23 03:00:00,NULL,NULL,NULL
3132,786,84,160000,1,100,7000,9400,2018-07-13 01:00:00,2018-07-17 11:00:00,NULL,NULL,NULL
3133,786,16,53000,0,1100,2300,625,2018-08-14 18:00:00,2018-08-20 13:00:00,NULL,NULL,NULL
3134,786,2,268000,1,800,1900,1800,2018-07-27 03:00:00,2018-08-02 17:00:00,NULL,NULL,NULL
3135,787,174,1138000,1,6000,200,4800,2018-08-12 22:00:00,2018-08-18 21:00:00,NULL,NULL,NULL
3136,787,97,213000,0,1575,25,650,2018-07-15 04:00:00,2018-07-19 23:00:00,NULL,NULL,NULL
3137,787,65,29000,0,1075,1425,975,2018-08-08 11:00:00,2018-08-13 12:00:00,NULL,NULL,NULL
3138,787,89,116000,0,4100,6600,1900,2018-08-11 19:00:00,2018-08-16 15:00:00,NULL,NULL,NULL
3139,788,67,241000,1,8400,3100,2900,2018-08-02 20:00:00,2018-08-09 17:00:00,NULL,NULL,NULL
3140,788,139,32000,0,7300,7800,2700,2018-07-29 17:00:00,2018-08-03 02:00:00,NULL,NULL,NULL
3141,788,179,301000,0,2700,7500,4600,2018-07-05 20:00:00,2018-07-11 15:00:00,NULL,NULL,NULL
3142,788,1,569000,1,4400,1700,6000,2018-07-18 15:00:00,2018-07-24 15:00:00,NULL,NULL,NULL
3143,789,71,130000,0,1800,3800,2400,2018-08-01 17:00:00,2018-08-05 22:00:00,NULL,NULL,NULL
3144,789,104,30000,1,2200,1000,5300,2018-07-28 12:00:00,2018-08-01 16:00:00,NULL,NULL,NULL
3145,789,42,557000,1,6500,8000,2900,2018-08-10 11:00:00,2018-08-15 16:00:00,NULL,NULL,NULL
3146,789,128,34000,1,2150,875,400,2018-07-20 20:00:00,2018-07-25 15:00:00,NULL,NULL,NULL
3147,790,127,213000,0,6300,100,6600,2018-07-17 16:00:00,2018-07-21 19:00:00,NULL,NULL,NULL
3148,790,169,344000,1,8500,8000,1200,2018-07-22 14:00:00,2018-07-28 16:00:00,NULL,NULL,NULL
3149,790,68,111000,1,2300,1900,100,2018-08-11 19:00:00,2018-08-18 17:00:00,NULL,NULL,NULL
3150,791,172,144000,0,1600,1700,4900,2018-08-13 15:00:00,2018-08-20 15:00:00,NULL,NULL,NULL
3151,791,141,147000,0,625,175,1275,2018-08-10 15:00:00,2018-08-16 02:00:00,NULL,NULL,NULL
3152,791,26,2648000,1,8200,9200,2300,2018-07-11 20:00:00,2018-07-18 16:00:00,NULL,NULL,NULL
3153,792,144,316000,0,8100,1900,3000,2018-07-09 07:00:00,2018-07-13 12:00:00,NULL,NULL,NULL
3154,792,73,176000,1,1000,5000,7400,2018-07-14 18:00:00,2018-07-19 19:00:00,NULL,NULL,NULL
3155,792,105,433000,1,9800,8900,4500,2018-07-14 19:00:00,2018-07-20 08:00:00,NULL,NULL,NULL
3156,792,14,186000,1,7700,2400,3400,2018-07-25 14:00:00,2018-07-31 09:00:00,NULL,NULL,NULL
3157,793,64,255000,0,3300,100,9800,2018-07-14 05:00:00,2018-07-19 16:00:00,NULL,NULL,NULL
3158,793,143,133000,1,400,3300,2100,2018-08-17 22:00:00,2018-08-23 05:00:00,NULL,NULL,NULL
3159,793,36,348000,0,4300,6500,7000,2018-07-26 11:00:00,2018-08-02 03:00:00,NULL,NULL,NULL
3160,793,109,438000,1,9800,7800,8400,2018-08-13 11:00:00,2018-08-18 18:00:00,NULL,NULL,NULL
3161,793,34,448000,1,3900,5300,3900,2018-08-15 13:00:00,2018-08-21 02:00:00,NULL,NULL,NULL
3162,794,72,156000,0,3900,1500,2000,2018-08-11 19:00:00,2018-08-17 21:00:00,NULL,NULL,NULL
3163,794,55,50000,1,425,525,1600,2018-07-08 22:00:00,2018-07-13 09:00:00,NULL,NULL,NULL
3164,794,109,279000,0,2700,8400,6900,2018-08-09 02:00:00,2018-08-15 10:00:00,NULL,NULL,NULL
3165,794,24,416000,1,800,5500,2600,2018-08-09 02:00:00,2018-08-14 01:00:00,NULL,NULL,NULL
3166,795,97,463000,0,2225,1825,750,2018-08-16 22:00:00,2018-08-23 06:00:00,NULL,NULL,NULL
3167,795,65,37000,0,1975,1325,600,2018-08-01 12:00:00,2018-08-07 02:00:00,NULL,NULL,NULL
3168,795,15,220000,0,4500,4600,3400,2018-07-05 02:00:00,2018-07-11 19:00:00,NULL,NULL,NULL
3169,796,90,193000,1,8900,7200,4600,2018-07-11 00:00:00,2018-07-15 09:00:00,NULL,NULL,NULL
3170,796,91,5000,1,610,250,210,2018-08-07 15:00:00,2018-08-13 04:00:00,NULL,NULL,NULL
3171,796,160,49000,1,800,800,5000,2018-08-01 11:00:00,2018-08-05 14:00:00,NULL,NULL,NULL
3172,796,144,387000,0,9700,2600,4600,2018-07-13 11:00:00,2018-07-18 22:00:00,NULL,NULL,NULL
3173,797,154,77000,1,1500,1500,4300,2018-08-08 18:00:00,2018-08-13 23:00:00,NULL,NULL,NULL
3174,797,33,248000,1,300,600,8900,2018-08-16 17:00:00,2018-08-22 12:00:00,NULL,NULL,NULL
3175,797,39,286000,1,800,9700,10000,2018-07-04 22:00:00,2018-07-10 09:00:00,NULL,NULL,NULL
3176,797,159,213000,0,6900,5300,8600,2018-08-16 17:00:00,2018-08-21 11:00:00,NULL,NULL,NULL
3177,798,169,330000,1,4100,9700,6100,2018-07-26 03:00:00,2018-08-01 12:00:00,NULL,NULL,NULL
3178,798,9,590000,1,3800,2100,9700,2018-07-15 16:00:00,2018-07-22 01:00:00,NULL,NULL,NULL
3179,798,131,339000,1,8200,3900,1700,2018-08-15 10:00:00,2018-08-20 15:00:00,NULL,NULL,NULL
3180,798,176,80000,1,2125,1775,75,2018-07-10 19:00:00,2018-07-15 18:00:00,NULL,NULL,NULL
3181,799,173,44000,0,1175,1600,400,2018-08-12 05:00:00,2018-08-17 01:00:00,NULL,NULL,NULL
3182,799,143,586000,1,7000,8600,9100,2018-07-31 09:00:00,2018-08-04 21:00:00,NULL,NULL,NULL
3183,799,176,79000,0,2050,550,2450,2018-07-22 17:00:00,2018-07-27 09:00:00,NULL,NULL,NULL
3184,799,139,28000,1,5000,6100,6300,2018-07-26 06:00:00,2018-08-01 18:00:00,NULL,NULL,NULL
3185,799,114,372000,0,7800,4900,3100,2018-07-26 14:00:00,2018-08-01 11:00:00,NULL,NULL,NULL
3186,799,82,829000,0,8400,3500,7800,2018-07-12 17:00:00,2018-07-19 17:00:00,NULL,NULL,NULL
3187,800,136,761000,1,400,6500,700,2018-07-17 16:00:00,2018-07-24 00:00:00,NULL,NULL,NULL
3188,800,143,404000,1,5800,3000,8100,2018-07-27 22:00:00,2018-08-02 12:00:00,NULL,NULL,NULL
3189,800,144,98000,1,900,1500,3500,2018-07-09 20:00:00,2018-07-15 23:00:00,NULL,NULL,NULL
3190,801,94,62000,0,740,240,410,2018-07-29 18:00:00,2018-08-04 22:00:00,NULL,NULL,NULL
3191,801,112,613000,1,2225,1975,1550,2018-08-11 08:00:00,2018-08-16 16:00:00,NULL,NULL,NULL
3192,801,4,1382000,1,3100,7900,9100,2018-07-13 15:00:00,2018-07-18 09:00:00,NULL,NULL,NULL
3193,801,158,122000,0,4300,2300,5700,2018-07-04 20:00:00,2018-07-11 01:00:00,NULL,NULL,NULL
3194,801,115,395000,0,8000,7600,7800,2018-07-06 21:00:00,2018-07-11 14:00:00,NULL,NULL,NULL
3195,802,18,191000,0,7500,1000,2500,2018-07-29 16:00:00,2018-08-04 23:00:00,NULL,NULL,NULL
3196,802,126,136000,1,500,8400,2800,2018-07-28 21:00:00,2018-08-04 05:00:00,NULL,NULL,NULL
3197,802,9,854000,1,8800,2100,7100,2018-07-24 09:00:00,2018-07-28 18:00:00,NULL,NULL,NULL
3198,802,34,161000,1,1000,1600,3300,2018-07-06 23:00:00,2018-07-11 15:00:00,NULL,NULL,NULL
3199,802,35,594000,0,8500,6700,8600,2018-07-20 18:00:00,2018-07-26 05:00:00,NULL,NULL,NULL
3200,803,177,448000,1,2200,4400,9600,2018-07-14 05:00:00,2018-07-20 05:00:00,NULL,NULL,NULL
3201,803,180,85000,1,300,500,7400,2018-07-18 08:00:00,2018-07-24 17:00:00,NULL,NULL,NULL
3202,803,109,49000,0,200,1200,2600,2018-07-27 15:00:00,2018-08-03 12:00:00,NULL,NULL,NULL
3203,803,9,894000,1,2700,9900,9300,2018-07-26 07:00:00,2018-08-01 18:00:00,NULL,NULL,NULL
3204,803,128,57000,0,2125,2300,2500,2018-07-23 13:00:00,2018-07-28 23:00:00,NULL,NULL,NULL
3205,804,64,528000,1,8700,7700,1300,2018-07-10 04:00:00,2018-07-16 21:00:00,NULL,NULL,NULL
3206,804,169,394000,1,9700,7300,5000,2018-07-10 12:00:00,2018-07-15 13:00:00,NULL,NULL,NULL
3207,804,57,132000,0,2150,925,2400,2018-07-13 21:00:00,2018-07-20 16:00:00,NULL,NULL,NULL
3208,804,164,521000,1,2200,5200,7300,2018-08-17 08:00:00,2018-08-22 09:00:00,NULL,NULL,NULL
3209,805,44,139000,1,900,2900,2500,2018-08-08 12:00:00,2018-08-14 09:00:00,NULL,NULL,NULL
3210,805,166,316000,1,3100,9100,1700,2018-07-11 23:00:00,2018-07-18 11:00:00,NULL,NULL,NULL
3211,805,70,546000,0,7800,4900,5300,2018-07-09 20:00:00,2018-07-14 15:00:00,NULL,NULL,NULL
3212,806,35,406000,1,2400,9000,5500,2018-07-09 22:00:00,2018-07-15 18:00:00,NULL,NULL,NULL
3213,806,141,384000,1,800,1950,2350,2018-08-07 08:00:00,2018-08-11 13:00:00,NULL,NULL,NULL
3214,806,43,476000,0,4300,3100,9100,2018-07-31 15:00:00,2018-08-07 00:00:00,NULL,NULL,NULL
3215,806,147,37000,0,2150,475,1750,2018-08-04 18:00:00,2018-08-10 05:00:00,NULL,NULL,NULL
3216,806,90,81000,1,3800,1100,5600,2018-07-07 03:00:00,2018-07-13 15:00:00,NULL,NULL,NULL
3217,807,138,362000,1,2200,8100,5200,2018-07-21 14:00:00,2018-07-27 06:00:00,NULL,NULL,NULL
3218,807,10,211000,1,1800,1950,1000,2018-08-03 12:00:00,2018-08-07 22:00:00,NULL,NULL,NULL
3219,807,35,268000,1,3700,3100,4400,2018-07-10 06:00:00,2018-07-15 09:00:00,NULL,NULL,NULL
3220,807,49,400000,0,6300,5700,2000,2018-08-17 13:00:00,2018-08-23 03:00:00,NULL,NULL,NULL
3221,808,126,260000,1,6900,8300,4100,2018-07-18 08:00:00,2018-07-25 02:00:00,NULL,NULL,NULL
3222,808,112,498000,1,1575,1750,1575,2018-08-09 20:00:00,2018-08-16 18:00:00,NULL,NULL,NULL
3223,808,100,21000,0,250,725,250,2018-07-29 21:00:00,2018-08-04 18:00:00,NULL,NULL,NULL
3224,808,149,438000,0,6500,6500,8700,2018-08-10 02:00:00,2018-08-16 22:00:00,NULL,NULL,NULL
3225,808,50,104000,0,2100,600,4600,2018-07-08 21:00:00,2018-07-14 00:00:00,NULL,NULL,NULL
3226,809,85,142000,0,6300,1400,1900,2018-07-08 13:00:00,2018-07-13 10:00:00,NULL,NULL,NULL
3227,809,140,48000,1,700,1775,50,2018-07-12 22:00:00,2018-07-17 11:00:00,NULL,NULL,NULL
3228,809,169,295000,1,9100,3400,3200,2018-07-15 02:00:00,2018-07-21 05:00:00,NULL,NULL,NULL
3229,809,156,171000,1,8300,2000,500,2018-07-09 15:00:00,2018-07-15 19:00:00,NULL,NULL,NULL
3230,810,177,412000,1,4600,2000,6300,2018-07-14 00:00:00,2018-07-19 20:00:00,NULL,NULL,NULL
3231,810,163,50000,1,1350,2275,725,2018-07-19 19:00:00,2018-07-25 03:00:00,NULL,NULL,NULL
3232,810,92,115000,0,650,400,75,2018-08-11 00:00:00,2018-08-15 20:00:00,NULL,NULL,NULL
3233,810,79,94000,1,2300,2800,9500,2018-07-15 20:00:00,2018-07-20 11:00:00,NULL,NULL,NULL
3234,810,55,90000,1,175,2175,1900,2018-07-24 12:00:00,2018-07-30 22:00:00,NULL,NULL,NULL
3235,810,172,90000,0,2400,300,1300,2018-07-21 06:00:00,2018-07-27 20:00:00,NULL,NULL,NULL
3236,811,56,1044000,1,1400,2100,3900,2018-08-01 13:00:00,2018-08-06 00:00:00,NULL,NULL,NULL
3237,811,49,483000,0,5000,7700,8000,2018-07-24 12:00:00,2018-07-28 15:00:00,NULL,NULL,NULL
3238,811,176,76000,0,1525,1250,1975,2018-08-16 06:00:00,2018-08-21 08:00:00,NULL,NULL,NULL
3239,812,122,307000,1,8000,2600,7800,2018-07-09 03:00:00,2018-07-14 13:00:00,NULL,NULL,NULL
3240,812,91,7000,1,340,890,640,2018-07-14 05:00:00,2018-07-18 06:00:00,NULL,NULL,NULL
3241,812,123,257000,1,7200,1100,8100,2018-07-31 10:00:00,2018-08-04 17:00:00,NULL,NULL,NULL
3242,812,150,181000,1,4700,3100,2300,2018-07-11 06:00:00,2018-07-16 19:00:00,NULL,NULL,NULL
3243,813,159,112000,0,3300,4600,2800,2018-07-07 07:00:00,2018-07-11 19:00:00,NULL,NULL,NULL
3244,813,61,318000,1,800,2000,2800,2018-08-11 01:00:00,2018-08-15 02:00:00,NULL,NULL,NULL
3245,813,174,2049000,0,6500,6300,9000,2018-08-15 12:00:00,2018-08-20 01:00:00,NULL,NULL,NULL
3246,814,103,235000,1,6600,4700,8900,2018-07-11 21:00:00,2018-07-17 06:00:00,NULL,NULL,NULL
3247,814,111,288000,0,2475,1900,475,2018-07-22 08:00:00,2018-07-26 23:00:00,NULL,NULL,NULL
3248,814,120,140000,1,2500,3900,3900,2018-08-12 20:00:00,2018-08-19 19:00:00,NULL,NULL,NULL
3249,815,67,368000,1,7400,9800,8900,2018-07-22 16:00:00,2018-07-26 17:00:00,NULL,NULL,NULL
3250,815,96,140000,1,230,980,630,2018-07-25 01:00:00,2018-07-30 18:00:00,NULL,NULL,NULL
3251,815,63,185000,0,2900,8200,4400,2018-08-13 06:00:00,2018-08-18 12:00:00,NULL,NULL,NULL
3252,815,53,964000,1,3600,6300,8400,2018-07-24 23:00:00,2018-07-31 03:00:00,NULL,NULL,NULL
3253,815,142,1608000,1,9200,8700,4100,2018-08-17 03:00:00,2018-08-23 16:00:00,NULL,NULL,NULL
3254,815,123,300000,1,7100,4300,7100,2018-07-22 18:00:00,2018-07-27 04:00:00,NULL,NULL,NULL
3255,816,79,179000,0,5300,9200,7100,2018-07-09 02:00:00,2018-07-15 09:00:00,NULL,NULL,NULL
3256,816,73,339000,1,7900,7700,1600,2018-07-17 17:00:00,2018-07-22 10:00:00,NULL,NULL,NULL
3257,816,14,169000,0,9300,100,200,2018-08-09 09:00:00,2018-08-13 11:00:00,NULL,NULL,NULL
3258,816,76,259000,1,6500,3400,5100,2018-07-29 02:00:00,2018-08-04 12:00:00,NULL,NULL,NULL
3259,817,113,359000,1,4100,3900,2000,2018-07-12 01:00:00,2018-07-18 01:00:00,NULL,NULL,NULL
3260,817,28,666000,1,6400,3400,1300,2018-08-09 00:00:00,2018-08-15 10:00:00,NULL,NULL,NULL
3261,817,179,183000,1,2500,1900,6200,2018-08-06 14:00:00,2018-08-13 14:00:00,NULL,NULL,NULL
3262,817,166,216000,0,100,7800,3300,2018-07-30 04:00:00,2018-08-04 08:00:00,NULL,NULL,NULL
3263,817,119,463000,0,5600,6000,7500,2018-08-10 22:00:00,2018-08-15 00:00:00,NULL,NULL,NULL
3264,818,75,283000,0,6100,3800,1600,2018-07-13 02:00:00,2018-07-17 23:00:00,NULL,NULL,NULL
3265,818,158,213000,0,7800,9200,100,2018-08-03 22:00:00,2018-08-09 02:00:00,NULL,NULL,NULL
3266,818,133,462000,1,3600,10000,6000,2018-07-30 22:00:00,2018-08-04 01:00:00,NULL,NULL,NULL
3267,818,21,58000,0,1525,250,775,2018-07-30 22:00:00,2018-08-06 05:00:00,NULL,NULL,NULL
3268,819,14,275000,1,5600,10000,5700,2018-08-09 05:00:00,2018-08-16 02:00:00,NULL,NULL,NULL
3269,819,131,421000,0,9200,3100,8000,2018-07-31 01:00:00,2018-08-06 12:00:00,NULL,NULL,NULL
3270,819,105,85000,1,700,2100,3500,2018-08-15 10:00:00,2018-08-21 14:00:00,NULL,NULL,NULL
3271,819,100,87000,0,1375,2100,1725,2018-08-02 16:00:00,2018-08-09 15:00:00,NULL,NULL,NULL
3272,819,180,360000,1,7600,5500,9900,2018-07-20 22:00:00,2018-07-26 10:00:00,NULL,NULL,NULL
3273,820,30,935000,0,5600,10000,1400,2018-08-04 17:00:00,2018-08-10 20:00:00,NULL,NULL,NULL
3274,820,95,92000,0,720,670,850,2018-08-17 15:00:00,2018-08-22 04:00:00,NULL,NULL,NULL
